19.751,20.086,19.915,21.933,20.086
19.296,19.475,19.348,20.086,19.783
18.777,18.244,18.198,18.391,18.527
19.513,19.089,19.652,19.94,19.938
22.461,22.087,20.576,22.972,20.402
20.085,20.231,20.232,19.646,20.086
19.227,19.231,18.833,18.963,19.647
21.751,22.994,22.543,23.271,22.818
18.684,19.638,19.791,20.085,19.621
18.967,19.798,19.938,19.797,20.394
21.558,21.061,20.576,20.407,20.865
18.617,16.727,17.408,17.946,19.02
18.277,18.832,19.471,18.966,18.31
18.445,18.824,19.301,17.134,19.301
19.136,18.866,18.943,18.507,20.238
20.387,19.626,21.313,22.002,19.237
18.741,19.081,19.027,19.799,19.374
16.916,19.058,18.91,18.056,18.488
20.085,21.604,21.65,19.753,21.498
20.99,20.685,21.978,22.269,22.592
19.785,20.68,22.412,20.234,20.387
19.51,18.859,18.17,18.439,19.636
